text,union_name,f_num,desig_num,count
CWA - 4603,COMMUNICATIONS WORKERS AFL-CIO,58898,4603,61
IBEW - 304,ELECTRICAL WORKERS IBEW AFL-CIO,6349,304,61
IBEW - 34,ELECTRICAL WORKERS IBEW AFL-CIO,29571,34,61
Unite Here-17,UNITE HERE,506435,17,61
CMRJB-10,"WORKERS UNITED, SEIU",65356,10,61
TCU - 355,"TRANSPORTATION COMMUNICATIONS UNION/IAM, AFL-CIO",20127,55,61
USA - 1304,"STEELWORKERS, AFL-CIO",30657,1304,61
USW-2936,"STEELWORKERS, AFL-CIO",28265,2936,61
AFSCME-25,STATE COUNTY AND MUNI EMPLS AFL-CIO,,0,61
SMW - 371,"SHEET METAL, AIR, RAIL AND TRANSPORTATION WORKERS",508815,371,60
IBT - 522,TEAMSTERS,17806,522,60
IBT - 731,TEAMSTERS,11948,731,60
IBT-336,TEAMSTERS,43009,336,60
IBT-886,TEAMSTERS,29835,886,60
IAMAW-190,MACHINISTS AFL-CIO,71127,190,60
IUOE-37,"ENGINEERS, OPERATING, AFL-CIO",24057,37,60
UAW-2327,AUTO WORKERS AFL-CIO,530894,2327,60
TEAMSTERS 331,TEAMSTERS,11756,331,60
IBT 703,TEAMSTERS,22671,703,60
International Brotherhood of Teamsters 63,TEAMSTERS,508852,63,60
International Union of Operating Engineers Local 68,"ENGINEERS, OPERATING, AFL-CIO",3188,68,60
Actors' Equity Association,ACTORS AND ARTISTES AFL-CIO,6029,,60
CWA-1120,COMMUNICATIONS WORKERS AFL-CIO,55943,1120,60
IBEW - 1260,ELECTRICAL WORKERS IBEW AFL-CIO,13873,1260,60
IBEW - 309,ELECTRICAL WORKERS IBEW AFL-CIO,24070,309,60
IBEW-1426,ELECTRICAL WORKERS IBEW AFL-CIO,23635,1426,60
International Brotherhood of Electrical Workers 1,ELECTRICAL WORKERS IBEW AFL-CIO,,,60
RWDSU-1034,"RETAIL WHOLESALE, DC, UFCW",17618,1034,60
1199SEIU United Healthcare Workers East,SERVICE EMPLOYEES,31847,,60
GCC-1L,PRINTING PACKAGING & PRODUCTION WORKERS UNION OF N,35319,1,60
IBT Council 10 25,TEAMSTERS,33335,25,60
International Union of Bricklayers & Allied Craftworkers Local 1 New York,BRICKLAYERS AFL-CIO,540021,,60
PAT-Council 4,PAINTERS AFL-CIO,42228,4,60
NOITU -,"INDUSTRIAL TRADE UNIONS, IUJAT",,0,60
SEIU,SERVICE EMPLOYEES,,0,60
SEIU-Health Care,SERVICE EMPLOYEES,,0,60
IUOE - 18S,"ENGINEERS, OPERATING, AFL-CIO",39040,18,59
UFCW - 1459,FOOD AND COMMERCIAL WKRS,24770,1459,59
IBT - 229,TEAMSTERS,1601,229,59
UFCW - 540,FOOD AND COMMERCIAL WKRS,41547,540,59
SEIU - 254,SERVICE EMPLOYEES,47180,254,59
IBT - 456,TEAMSTERS,21006,456,59
IBT - 453,TEAMSTERS,1015,453,59
IBT - 866,TEAMSTERS,16104,866,59
IBT-289,TEAMSTERS,37328,289,59
UAW-412,AUTO WORKERS AFL-CIO,20544,412,59
IUANPW-148,NOVELTY AND PRODUCTION WKRS AFL-CIO,20902,148,59
UFCW-135,FOOD AND COMMERCIAL WKRS,517319,135,59
IBT-529,TEAMSTERS,10359,529,59
IBT-463 ,TEAMSTERS,5506,463,59
UFCW-540,FOOD AND COMMERCIAL WKRS,41547,540,59
IBT Local 11,TEAMSTERS,62025,11,59
International Brotherhood of Teamsters 355,TEAMSTERS,28763,355,59
International Union of Operating Engineers 835,"ENGINEERS, OPERATING, AFL-CIO",12616,835,59
IUOE Local 302,"ENGINEERS, OPERATING, AFL-CIO",40284,302,59
IBT Local 731,TEAMSTERS,11948,731,59
International Brotherhood of Teamsters 404,TEAMSTERS,22573,404,59
Office & Professional Employees International Union 8,OFFICE AND PROFESSIONAL EMPLS AFL-CIO,26712,8,59
IBEW-98,ELECTRICAL WORKERS IBEW AFL-CIO,1938,98,59
American Guild Of Musical Artists,AMERICAN GUILD OF MUSICAL ARTISTS AFL-CIO,,,59
American Guild of Musical Artists-n/a,AMERICAN GUILD OF MUSICAL ARTISTS AFL-CIO,,,59
GCIU - 1B,PRINTING PACKAGING & PRODUCTION WORKERS UNION OF N,514008,1,59
IATSE-7,STAGE AND PICTURE OPERATORS AFL-CIO,,,59
UNITEHERE-10,UNITE AFL-CIO,36812,10,59
Service Employees International Union District 1199,SERVICE EMPLOYEES,,199,59
IBT - MULTI,TEAMSTERS,,0,59
IUOE - 9,"ENGINEERS, OPERATING, AFL-CIO",24023,9,58
IBT - 378,TEAMSTERS,36775,378,58
IBT - 636,TEAMSTERS,15700,636,58
UFCW - 300-S,FOOD AND COMMERCIAL WKRS,49498,300,58
IBT-795,TEAMSTERS,16961,795,58
LIUNA-1010,LABORERS,4241,1010,58
IBT-728,TEAMSTERS,35292,728,58
LIUNA-681,LABORERS,16147,681,58
Teamsters-406,TEAMSTERS,29589,406,58
International Brotherhood of Teamsters 200,TEAMSTERS,13815,200,58
SEIU 49,SERVICE EMPLOYEES,34038,49,58
International Brotherhood of Teamsters 703,TEAMSTERS,22671,703,58
UFCW-770,FOOD AND COMMERCIAL WKRS,517385,770,58
United Industrial Workers of North America,INDUSTRIAL WKRS UNTD SIUNA AFL-CIO,,,58
IBEW-1593,ELECTRICAL WORKERS IBEW AFL-CIO,514400,1593,58
IBEW-2295,ELECTRICAL WORKERS IBEW AFL-CIO,67723,2295,58
IBEW-953,ELECTRICAL WORKERS IBEW AFL-CIO,27107,953,58
GCIU - 2C,PRINTING PACKAGING & PRODUCTION WORKERS UNION OF N,6146,2,58
1199SEIU United Healthcare Workers East 1199,SERVICE EMPLOYEES,31847,,58
NPW/PWU-18,NOVELTY AND PRODUCTION WKRS AFL-CIO,,18,58
SMW - 33,"SHEET METAL, AIR, RAIL AND TRANSPORTATION WORKERS",517801,,58
"UFCW, United Food and Commerical Workers-1",FOOD AND COMMERCIAL WKRS,27484,1,58
AMO -,MASTERS MATES AND PILOTS AFL-CIO,,,58
United Food & Commercial Workers 342,FOOD AND COMMERCIAL WKRS,,42,58
IBT - 575,TEAMSTERS,23536,575,57
IBT-509,TEAMSTERS,36315,509,57
IUOE-101-S,"ENGINEERS, OPERATING, AFL-CIO",22411,101,57
APAIEU/IBT-618,TEAMSTERS,28325,618,57
UFCW Local 1189,FOOD AND COMMERCIAL WKRS,544428,1189,57
Teamsters 120,TEAMSTERS,1526,120,57
Iron Workers Regional Shop Local 853,IRON WORKERS AFL-CIO,545828,853,57
International Brotherhood of Teamsters 238,TEAMSTERS,6334,238,57
"International Association of Bridge, Structural, Ornamental & Reinforcing Iron Workers Union 853",IRON WORKERS AFL-CIO,545828,853,57
International Brotherhood of Teamsters Local 682,TEAMSTERS,36648,682,57
Teamsters Local Union No. 247 247,TEAMSTERS,28810,247,57
Teamsters Local 118 118,TEAMSTERS,1802,118,57
BCTGM-24,"BAKERY, TOBACCO AND GRAIN AFL-CIO",21582,24,57
UFCW 1,FOOD AND COMMERCIAL WKRS,27484,1,57
LIUNA - WA & NORTHERN ID DC,LABORERS,66563,,57
CWA - 9400,COMMUNICATIONS WORKERS AFL-CIO,517316,9400,57
CWA - DISTRICT 3,COMMUNICATIONS WORKERS AFL-CIO,26706,3,57
Communications Workers of America,COMMUNICATIONS WORKERS AFL-CIO,,,57
IATSE - 600,STAGE AND PICTURE OPERATORS AFL-CIO,22852,600,57
MNA Local,MASSACHUSETTS NURSES ASSOCIATION,57925,0,57
IAM - 289 DL 160,MACHINISTS AFL-CIO,19877,289,57
Teamsters District Council 2 747M,TEAMSTERS,540115,747,57
UFCW 5,FOOD AND COMMERCIAL WKRS,,0,57
IBT - 340,TEAMSTERS,11443,340,56
BSOIW - 473,IRON WORKERS AFL-CIO,29144,473,56
IBT - 205,TEAMSTERS,10118,205,56
IBT - 744,TEAMSTERS,35460,744,56
IBT - 878,TEAMSTERS,32629,878,56
IBT-408,TEAMSTERS,4817,408,56
IBT-407,TEAMSTERS,11109,407,56
IUOE-450,"ENGINEERS, OPERATING, AFL-CIO",41238,450,56
LIUNA-100,LABORERS,19802,100,56
Carpenters-721,CARPENTERS IND,22059,721,56
INTERNATIONAL BROTHERHOOD OF TEAMSTERS 986,TEAMSTERS,15379,986,56
Christian Labor Association 78,CHRISTIAN LABOR UNION IND,46749,78,56
International Brotherhood of Teamsters 251,TEAMSTERS,30541,251,56
International Union of Operating Engineers 926,"ENGINEERS, OPERATING, AFL-CIO",14939,926,56
Office & Professional Employees International Union AFL-CIO 30,OFFICE AND PROFESSIONAL EMPLS AFL-CIO,36801,30,56
ANA - MINA,"NURSES ASN, AMERICAN, IND",53683,,56
AFGE - AFL CIO,GOVERNMENT EMPLOYEES AFGE AFL-CIO,,,56
AFM AFL-CIO CLC 47,MUSICIANS AFL-CIO,12112,47,56
GCIU - 447,PRINTING PACKAGING & PRODUCTION WORKERS UNION OF N,33196,447,56
International Brotherhood of Electrical Workers 125,ELECTRICAL WORKERS IBEW AFL-CIO,26009,125,56
RWDSU-379,"RETAIL WHOLESALE, DC, UFCW",36929,379,56
IAMAW-447 District 15,MACHINISTS AFL-CIO,15451,447,56
SEIU 1199-1199,SERVICE EMPLOYEES,,199,56
Service Employee International Union 1199,SERVICE EMPLOYEES,,199,56
SMW - 66,"SHEET METAL, AIR, RAIL AND TRANSPORTATION WORKERS",521660,66,55
IBT - 667,TEAMSTERS,22627,667,55
IBT - 515,TEAMSTERS,22566,515,55
IBT - 814,TEAMSTERS,35107,814,55
OPEIU - 537,OFFICE AND PROFESSIONAL EMPLS AFL-CIO,530711,537,55
IBT-453,TEAMSTERS,1015,453,55
UFCW-951,FOOD AND COMMERCIAL WKRS,58445,951,55
IBT-400,TEAMSTERS,9109,400,55
IBT-102,TEAMSTERS,28724,102,55
GCC/IBT-508M,PRINTING PACKAGING & PRODUCTION WORKERS UNION OF N,47349,508,55
INTERNATIONAL BROTHERHOOD OF TEAMSTERS 445,TEAMSTERS,27514,445,55
UFCW Local 880,FOOD AND COMMERCIAL WKRS,10330,880,55
IBT 63,TEAMSTERS,508852,63,55
UFCW 881,FOOD AND COMMERCIAL WKRS,515066,881,55
IBT 20,TEAMSTERS,8580,20,55
IBT 618,TEAMSTERS,28325,618,55
International Union Of Operating Engineers 4,"ENGINEERS, OPERATING, AFL-CIO",33610,4,55
International Brotherhood of Teamsters 330,TEAMSTERS,40100,330,55
United Food and Commercial Workers 227,FOOD AND COMMERCIAL WKRS,24915,227,55
United Food and Commercial Workers 555,FOOD AND COMMERCIAL WKRS,516833,555,55
SEIU - 100,SERVICE EMPLOYEES,546798,100,55
COIU-,"INDEPENDENT UNIONS, CONGRESS OF",,,55
CJA - PACIFIC NW RGL COUNCIL,CARPENTERS IND,540172,,55
CWA-6,COMMUNICATIONS WORKERS AFL-CIO,,,55
IBEW-2,ELECTRICAL WORKERS IBEW AFL-CIO,,,55
IAM - 778,MACHINISTS AFL-CIO,20167,778,55
UNITEHERE-8,UNITE HERE,509161,8,55
UNITE HERE-74,UNITE HERE,508538,74,55
IAMAW-751,MACHINISTS AFL-CIO,,51,55
UAW-270-01,AUTO WORKERS AFL-CIO,46867,270,55
SWU-2552,SERVICE EMPLOYEES,543137,2552,55
IBT - 671,TEAMSTERS,23964,671,54
IBT - 301,TEAMSTERS,25052,301,54
ILA - 1765,LONGSHOREMENS ASN AFL-CIO,9437,1765,54
PAT - 1324,PAINTERS AFL-CIO,34836,1324,54
UFCW - 870,FOOD AND COMMERCIAL WKRS,15584,870,54
UAW-2322,AUTO WORKERS AFL-CIO,530043,2322,54
IAMAW-653,MACHINISTS AFL-CIO,26386,653,54
IAMAW-1528,MACHINISTS AFL-CIO,41613,1528,54
UAW-710,AUTO WORKERS AFL-CIO,37853,710,54
UFCW-517S,FOOD AND COMMERCIAL WKRS,7720,517,54
LIUNA-89,LABORERS,19943,89,54
International Brotherhood of Teamsters 673,TEAMSTERS,21933,673,54
IBT Local 572,TEAMSTERS,24471,572,54
OPCMIA 72,PLASTERERS AND CEMENT MASONS AFL-CIO,26394,72,54
OPEIU 8,OFFICE AND PROFESSIONAL EMPLS AFL-CIO,26712,8,54
SEIU - 96,SERVICE EMPLOYEES,543718,96,54
SEIU-Healthcare Michigan,SERVICE EMPLOYEES,543857,,54
NYSNA Local,NATIONAL NURSES UNITED,38970,,54
IBEW - 385,ELECTRICAL WORKERS IBEW AFL-CIO,541375,385,54
IBEW - 978,ELECTRICAL WORKERS IBEW AFL-CIO,16391,978,54
IAM - 113,MACHINISTS AFL-CIO,16946,113,54
IAM - 653,MACHINISTS AFL-CIO,26386,653,54
IATSE 8,STAGE AND PICTURE OPERATORS AFL-CIO,,,54
IATSE-780,STAGE AND PICTURE OPERATORS AFL-CIO,22280,780,54
International Brotherhood of Electrical Workers 3,ELECTRICAL WORKERS IBEW AFL-CIO,,,54
RWDSU-835,"RETAIL WHOLESALE, DC, UFCW",32227,835,54
IBT Council 44-20,TEAMSTERS,8580,20,54
Painters and Allied Trades District Council 36 831,PAINTERS AFL-CIO,26766,831,54
SMW - 20,"SHEET METAL, AIR, RAIL AND TRANSPORTATION WORKERS",515617,,54
DC 4-458M,PRINTING PACKAGING & PRODUCTION WORKERS UNION OF N,22667,458,54
BCTGM - 3,"BAKERY, TOBACCO AND GRAIN AFL-CIO",,0,54
IBT - 795,TEAMSTERS,16961,795,53
IBT - 637,TEAMSTERS,6628,637,53
IBT - 505,TEAMSTERS,35252,505,53
UAW - 985,AUTO WORKERS AFL-CIO,35317,985,53
BSOIW - 527,IRON WORKERS AFL-CIO,32224,527,53
BSOIW - 509,IRON WORKERS AFL-CIO,15540,509,53
UAW - 1596,AUTO WORKERS AFL-CIO,66761,1596,53
UAW-600,AUTO WORKERS AFL-CIO,13030,600,53
BCTGM-68,"BAKERY, TOBACCO AND GRAIN AFL-CIO",12542,68,53
IBT-340,TEAMSTERS,11443,340,53
IBT-52,TEAMSTERS,39065,52,53
BCTGM-42,"BAKERY, TOBACCO AND GRAIN AFL-CIO",2093,42,53
IBT-636,TEAMSTERS,15700,636,53
IBT-693,TEAMSTERS,24316,693,53
IAMAW-681,MACHINISTS AFL-CIO,35937,681,53
Boilermakers-104,BOILERMAKERS AFL-CIO,24086,104,53
Operating Engineers-3,"ENGINEERS, OPERATING, AFL-CIO",35651,3,53
IUOE -30,"ENGINEERS, OPERATING, AFL-CIO",19779,30,53
United Food & Commercial Workers 1445,FOOD AND COMMERCIAL WKRS,19892,1445,53
Christian Labor Association 84,CHRISTIAN LABOR UNION IND,61391,84,53
International Brotherhood of Teamsters 305,TEAMSTERS,5158,305,53
International Union of Operating Engineers 542,"ENGINEERS, OPERATING, AFL-CIO",38130,542,53
"GLAZIERS, ARCHITECTURAL METAL & GLASSWORKERS  188",PAINTERS AFL-CIO,36324,188,53
International Brotherhood of Teamsters 781,TEAMSTERS,16955,781,53
General Teamsters Local Union No. 406 406,TEAMSTERS,29589,406,53
IBT-75,TEAMSTERS,13688,75,53
CJA - GREATER ST LOUIS & VIC DC,CARPENTERS IND,2637,,53
IBEW - 111,ELECTRICAL WORKERS IBEW AFL-CIO,24543,111,53
IBEW - 1499,ELECTRICAL WORKERS IBEW AFL-CIO,19528,1499,53
IBEW - 949,ELECTRICAL WORKERS IBEW AFL-CIO,44433,949,53
IBEW-1186,ELECTRICAL WORKERS IBEW AFL-CIO,14626,1186,53
IUE - 408,COMMUNICATIONS WORKERS AFL-CIO,34227,408,53
IAM - 1596,MACHINISTS AFL-CIO,40224,1596,53
IATSE-700,STAGE AND PICTURE OPERATORS AFL-CIO,541305,700,53
UNITEHERE-969,UNITE HERE,66205,969,53
International Association of Machinists & Aerospace Workers District #9,MACHINISTS AFL-CIO,38242,9,53
SEIU - 1199 NHHSEU,SERVICE EMPLOYEES,31847,,53
SEIU - 1199NW,SERVICE EMPLOYEES,516569,1199,53
SEIU - 200-C,SERVICE EMPLOYEES,517251,200,53
BCTW - 102,"BAKERY, TOBACCO AND GRAIN AFL-CIO",,2,53
USW-675,"STEELWORKERS, AFL-CIO",,0,53
IAMAW-37,MACHINISTS AFL-CIO,,0,53
BAC-8,BRICKLAYERS AFL-CIO,,0,53
IBT - 563,TEAMSTERS,30893,563,52
IBT - 693,TEAMSTERS,24316,693,52
IBT - 839,TEAMSTERS,15385,839,52
IBT - 493,TEAMSTERS,12610,493,52
UFCW - 44,FOOD AND COMMERCIAL WKRS,513896,44,52
IBT - 964,TEAMSTERS,10485,964,52
IBT - 398,TEAMSTERS,43890,398,52
LIUNA - 872,LABORERS,1013,872,52
BCTGM-85,"BAKERY, TOBACCO AND GRAIN AFL-CIO",3472,85,52
IUOE-612,"ENGINEERS, OPERATING, AFL-CIO",42409,612,52
UAW-509,AUTO WORKERS AFL-CIO,21694,509,52
Teamsters 929,TEAMSTERS,16753,929,52
GCC/IBT 508-M,PRINTING PACKAGING & PRODUCTION WORKERS UNION OF N,47349,508,52
International Union Of Operating Engineers 701,"ENGINEERS, OPERATING, AFL-CIO",23992,701,52
United Food & Commercial Workers International AFL-CIO CLC 1776KS,FOOD AND COMMERCIAL WKRS,45254,1776,52
International Brotherhood of Teamsters 206,TEAMSTERS,42547,206,52
UFCW - 7R,FOOD AND COMMERCIAL WKRS,23866,7,52
BCTGM-25,"BAKERY, TOBACCO AND GRAIN AFL-CIO",1797,25,52
IBEW - 1392,ELECTRICAL WORKERS IBEW AFL-CIO,26364,1392,52
IBEW - 160,ELECTRICAL WORKERS IBEW AFL-CIO,22522,160,52
IBEW-558,ELECTRICAL WORKERS IBEW AFL-CIO,7369,558,52
IAM - 289,MACHINISTS AFL-CIO,19877,289,52
IAM - AFL CIO,MACHINISTS AFL-CIO,,,52
RWDSU - 1034,"RETAIL WHOLESALE, DC, UFCW",17618,1034,52
UNITE - 75,UNITE AFL-CIO,49771,75,52
Sheet Metal Workers-100,"SHEET METAL, AIR, RAIL AND TRANSPORTATION WORKERS",515603,,52
United Food & Commercial Workers One,FOOD AND COMMERCIAL WKRS,,0,52
UMWA,"MINE WORKERS, UNITED, AFL-CIO",,0,52
SEIU-Florida,SERVICE EMPLOYEES,544035,0,52
UFCW - 81,FOOD AND COMMERCIAL WKRS,,0,52
AFSCME - DC 1707,STATE COUNTY AND MUNI EMPLS AFL-CIO,61014,1707,51
IBT - 396,TEAMSTERS,21509,396,51
IBT - 992,TEAMSTERS,14787,992,51
IBT - 512,TEAMSTERS,35339,512,51
UAW - 70,AUTO WORKERS AFL-CIO,35158,70,51
IBT - 79,TEAMSTERS,35477,79,51
IBT - 49,TEAMSTERS,12436,49,51
UFCW - 1262,FOOD AND COMMERCIAL WKRS,51552,1262,51
IBT - 651,TEAMSTERS,69551,651,51
IUOE - 37,"ENGINEERS, OPERATING, AFL-CIO",24057,37,51
BCTGM - 37,"BAKERY, TOBACCO AND GRAIN AFL-CIO",21527,37,51
IBT-517,TEAMSTERS,20397,517,51
IAMAW-48,MACHINISTS AFL-CIO,19745,48,51
IBT-984,TEAMSTERS,37480,984,51
IBT-823,TEAMSTERS,36261,823,51
IAMAW-439,MACHINISTS AFL-CIO,13119,439,51
IBT-991,TEAMSTERS,16933,991,51
UFCW-152 ,FOOD AND COMMERCIAL WKRS,543600,152,51
Steamfitters-420,PLUMBERS AFL-CIO,1114,420,51
OPEIU 12,OFFICE AND PROFESSIONAL EMPLS AFL-CIO,1696,12,51
IBT Local 630,TEAMSTERS,34093,630,51
OPEIU Local 8,OFFICE AND PROFESSIONAL EMPLS AFL-CIO,26712,8,51
INT'L BROTHERHOOD OF TEAMSTERS 377,TEAMSTERS,39225,377,51
Teamsters 179,TEAMSTERS,17603,179,51
IBT 760,TEAMSTERS,43443,760,51
SEIU UHWW 2005,SERVICE EMPLOYEES,543099,2005,51
Teamsters Union  170,TEAMSTERS,19903,170,51
International Brotherhood of Teamsters 247,TEAMSTERS,28810,247,51
International Brotherhood of Teamsters 11,TEAMSTERS,62025,11,51
"International Union of Allied, Novelty & Production Workers LOCAL 30",NOVELTY AND PRODUCTION WKRS AFL-CIO,543087,30,51
RWDSU - ALABAMA MID SOUTH COUNCIL,"RETAIL WHOLESALE, DC, UFCW",38582,,51
CWA - DISTRICT 1,COMMUNICATIONS WORKERS AFL-CIO,,,51
IBEW - 1158,ELECTRICAL WORKERS IBEW AFL-CIO,4938,1158,51
IBEW-357,ELECTRICAL WORKERS IBEW AFL-CIO,38815,357,51
SAG-AFTRA,SAG-AFTRA,,,51
IAM - 1584,MACHINISTS AFL-CIO,538110,1584,51
IATSE Local,STAGE AND PICTURE OPERATORS AFL-CIO,,,51
UNITEHERE-57,UNITE HERE,71089,57,51
UNITEHERE-New York Joint Board,UNITE HERE,46607,0,51
GCIU - 235-M,PRINTING PACKAGING & PRODUCTION WORKERS UNION OF N,28861,235,51
"SEIU 1199 NW - Renton, WA-1199NW",SERVICE EMPLOYEES,516569,1199,51
UFCW Local 5,FOOD AND COMMERCIAL WKRS,,,51
International Union Of Operating Engineers,"ENGINEERS, OPERATING, AFL-CIO",,0,51
USW-6996,"STEELWORKERS, AFL-CIO",63567,6996,51
IAMAW-15,MACHINISTS AFL-CIO,,0,51
IAMAW-52,MACHINISTS AFL-CIO,,0,51
IAMAW-Lodge 77,MACHINISTS AFL-CIO,,0,51
UAW - 365,AUTO WORKERS AFL-CIO,35429,365,50
UFCW - 408,FOOD AND COMMERCIAL WKRS,26087,408,50
CJA - 2682,CARPENTERS IND,9312,2682,50
PAT - 36,PAINTERS AFL-CIO,30396,36,50
UFCW - 1105,FOOD AND COMMERCIAL WKRS,17515,1105,50
IBT-597,TEAMSTERS,18732,597,50
IBT-553,TEAMSTERS,9344,553,50
Sheet Metal Workers-170,"SHEET METAL, AIR, RAIL AND TRANSPORTATION WORKERS",41937,170,50
IBT-236,TEAMSTERS,37965,236,50
IAMAW-1101,MACHINISTS AFL-CIO,29596,1101,50
IBT-111,TEAMSTERS,5375,111,50
Teamsters 348,TEAMSTERS,26316,348,50
International Union of Operating Engineers Local 49,"ENGINEERS, OPERATING, AFL-CIO",4588,49,50
IBT Local 282,TEAMSTERS,9185,282,50
International Brotherhood of Teamsters 554,TEAMSTERS,37997,554,50
International Brotherhood of Teamsters 449,TEAMSTERS,2199,449,50
Teamsters Local 135 135,TEAMSTERS,9836,135,50
SEIU Healthcare MN,SERVICE EMPLOYEES,57419,,50
CHICAGO REGIONAL COUNCIL OF CARPENTERS,CARPENTERS IND,544919,,50
IBEW - 369,ELECTRICAL WORKERS IBEW AFL-CIO,22469,369,50
IBEW - 558,ELECTRICAL WORKERS IBEW AFL-CIO,7369,558,50
IBEW-1837,ELECTRICAL WORKERS IBEW AFL-CIO,42350,1837,50
IBEW-31,ELECTRICAL WORKERS IBEW AFL-CIO,7664,31,50
RWDSU-108,"RETAIL WHOLESALE, DC, UFCW",22833,108,50
RWDSU-512,"RETAIL WHOLESALE, DC, UFCW",32088,512,50
UNITEHERE-150,UNITE HERE,28827,150,50
UNITEHERE-274,UNITE HERE,504832,274,50
International Union of Painters & Allied Trades Structural Steel and Bridge Painters Local 806,PAINTERS AFL-CIO,6929,806,50
SMW - 4,"SHEET METAL, AIR, RAIL AND TRANSPORTATION WORKERS",9643,,50
CMRJB-122,"WORKERS UNITED, SEIU",26756,122,50
UBC-MIRC,CARPENTERS IND,540444,0,50
BCTGM - 50,"BAKERY, TOBACCO AND GRAIN AFL-CIO",,0,50
BCTGM-3,"BAKERY, TOBACCO AND GRAIN AFL-CIO",,0,50
SEIU-ULTCW-,SERVICE EMPLOYEES,,0,50
BAC-5,BRICKLAYERS AFL-CIO,,0,50
IUPAT District Council 91,PAINTERS AFL-CIO,542404,91,50
OPEIU - 210,OFFICE AND PROFESSIONAL EMPLS AFL-CIO,54433,210,49
IBT - 430,TEAMSTERS,9433,430,49
IBT - 481,TEAMSTERS,46777,481,49
BBF - 83,BOILERMAKERS AFL-CIO,37291,83,49
IBT - 435,TEAMSTERS,2409,435,49
UAW-1612,AUTO WORKERS AFL-CIO,68528,1612,49
OPEIU-32,OFFICE AND PROFESSIONAL EMPLS AFL-CIO,11381,32,49
PAT-27,PAINTERS AFL-CIO,28012,27,49
SEIU-2015,SERVICE EMPLOYEES,545348,2015,49
OPEIU Local 153,OFFICE AND PROFESSIONAL EMPLS AFL-CIO,19065,153,49
IBT 673,TEAMSTERS,21933,673,49
IBT 731,TEAMSTERS,11948,731,49
UFCW 1473,FOOD AND COMMERCIAL WKRS,543517,1473,49
International Brotherhood of Teamsters 916,TEAMSTERS,41023,916,49
Teamsters Local Union 315 315,TEAMSTERS,9807,315,49
UFCW-73A,FOOD AND COMMERCIAL WKRS,28333,73,49
UBC-CHICAGO RC,CARPENTERS IND,544919,,49
CJA - KANSAS CITY & VICINITY DC,CARPENTERS IND,26389,,49
CJA - MID CENTRAL IL REG COUNCIL,CARPENTERS IND,509324,,49
IBEW - 2088,ELECTRICAL WORKERS IBEW AFL-CIO,56687,2088,49
IBEW - 51,ELECTRICAL WORKERS IBEW AFL-CIO,11356,51,49
GCIU - 612M,PRINTING PACKAGING & PRODUCTION WORKERS UNION OF N,521560,612,49
"International Association of Machinists and Aerospace Workers, District W24",MACHINISTS AFL-CIO,544432,,49
"International Association of Sheet Metal, Air, Rail & Transportation Workers 18","SHEET METAL, AIR, RAIL AND TRANSPORTATION WORKERS",515429,,49
UFCW District 1 152,FOOD AND COMMERCIAL WKRS,543600,152,49
bac local 15,BRICKLAYERS AFL-CIO,,,49
Directors Guild of America,ACTORS AND ARTISTES AFL-CIO,6029,,49
IBU-,LONGSHORE AND WAREHOUSE UNION,,0,49
"RETAIL, WHOLESALE AND DEPARTMENT STORE UNION","RETAIL WHOLESALE, DC, UFCW",,,49
USA - 13702,"STEELWORKERS, AFL-CIO",26527,13702,49
UFCW - 8,FOOD AND COMMERCIAL WKRS,,0,49
IAMAW-776,MACHINISTS AFL-CIO,,76,49
UAW - 2320,AUTO WORKERS AFL-CIO,,0,49
United Food & Commercial Workers 663,FOOD AND COMMERCIAL WKRS,,0,49
National Nurses Organizing Committee/National Nurses United,NATIONAL NURSES UNITED,,0,49
IBT - 697,TEAMSTERS,25932,697,48
IBT-896,TEAMSTERS,30466,896,48
BCTGM-4,"BAKERY, TOBACCO AND GRAIN AFL-CIO",35015,4,48
IAMAW-850,MACHINISTS AFL-CIO,20904,850,48
IUOE-181,"ENGINEERS, OPERATING, AFL-CIO",32196,181,48
BCTGM-433,"BAKERY, TOBACCO AND GRAIN AFL-CIO",13093,433,48
International Union of Operating Engineers 68,"ENGINEERS, OPERATING, AFL-CIO",3188,68,48
HAWAII TEAMSTERS & ALLIED WORKERS 996,TEAMSTERS,28511,996,48
IBT 916,TEAMSTERS,41023,916,48
TEAMSTERS 786,TEAMSTERS,4913,786,48
OPERATING ENGINEERS 926,"ENGINEERS, OPERATING, AFL-CIO",14939,926,48
International Union of Operating Engineers AFL-CIO 612,"ENGINEERS, OPERATING, AFL-CIO",42409,612,48
United Food & Commercial Workers 431,FOOD AND COMMERCIAL WKRS,14291,431,48
I.U.O.E Local 49,"ENGINEERS, OPERATING, AFL-CIO",4588,49,48
IBT - 727,TEAMSTERS,11082,727,48
AEA-,APPLEWOOD EMPLOYEE ASSOCIATION,542782,,48
CWA-,COMMUNICATIONS WORKERS AFL-CIO,,,48
IBEW - 1547,ELECTRICAL WORKERS IBEW AFL-CIO,19504,1547,48
IBEW - 53,ELECTRICAL WORKERS IBEW AFL-CIO,24867,53,48
IBEW-1439,ELECTRICAL WORKERS IBEW AFL-CIO,45527,1439,48
IBEW-716,ELECTRICAL WORKERS IBEW AFL-CIO,22626,716,48
Screen Actors Guild-American Federation of Television & Radio Artists,SAG-AFTRA,,,48
